company,avg
anonymouscontent,13718891.483870968
openroadfilms,20098195.95238095
monkeypawpictures,84182957.6
griveproductions,69038738.33333333
tapestryfilms,59175148.85714286
wandapictures,412563408.0
waverlyfilms,80697114.6
solanafilms,66893392.5
rainforestfilms,80078763.6
rideback,99022439.75
cbsfilms,18814273.95238095
junctionentertainment,196483251.5
morgancreekproductions,49016587.375
contrafilm,42356373.55555555
radarpictures,21030538.944444444
triggerstreetproductions,46791571.25
radiantproductions,124712595.66666667
timburton,52820367.28571428
douglaswick,121698773.33333333
tf1filmproductions,12582053.51724138
olivebridgeentertainment,60664542.833333336
eddiemurphyproduction,181456389.5
marvfilms,32939062.09090909
87eleveninc,60064588.5
chinafilmcompany,44882498.625
seedproductions,119607279.0
kopaperproducts,71467414.4
brownstone,59032475.5
initialentertainmentgroup,50438557.428571425
johncalley,175455992.0
ghosthousepictures,70074561.2
22ndindiana,350126372.0
huayibrotherspicturesltd,29112176.166666668
hbofilms,31597013.181818184
entertainmentone,7083092.693877551
imglobal,7834522.25
apatowproductions,42941144.75
katzsmithproductions,171540981.5
kernerentertainmentcompany,68327586.4
legosystemsas,113612815.66666667
wonderlandsoundandvision,30881626.454545453
madghostproductions,167530903.5
reubencannonproductions,47824376.0
aardmananimations,47526465.0
talltrees,83017819.0
cannellstudios,165083502.0
stevetischproductions,330151138.0
beaglepug,109264804.66666667
bonniearnold,163055579.5
jackgiarraputo,162485720.5
maximumeffect,324591735.0
wildwestpictureshow,64215649.0
lucamar,106545925.0
alcorfilms,35514368.333333336
callahanfilmworks,106081976.0
duncanhendersonproductions,317871467.0
blacklabelmedia,28845456.09090909
arthursarkissian,105235446.33333333
sidneykimmelentertainment,16595421.736842105
guberpeters,157469439.5
hydeparkentertainment,18450780.529411763
rogerbirnbaum,77859884.5
emmettfurlafilms,23821577.307692308
chartoffwinklerproductions,61900872.6
tpscompany,43795802.71428572
tigproductions,153077281.0
mirage,34001090.11111111
b23,304360277.0
2dux2,100597465.66666667
film4,6138670.224489796
americanzoetrope,25021767.166666668
flynnpicturecompany,33356972.555555556
laika,50024280.666666664
fuzzydoor,100047375.0
doublefeaturefilms,27139634.363636363
bradgrey,59250882.4
flowerfilms,42244609.428571425
pariahproductions,26854516.0
shangrilaentertainment,48812853.833333336
mayhempictures,58259641.0
misherfilms,26462070.636363637
outoftheblueentertainment,144886623.5
legrisbi,32123602.0
lyndaobstproductions,96354127.33333333
scholasticentertainmentinc,47791091.166666664
berndeichinger,143308909.0
nealhmoritz,143221155.0
ldentertainment,12822849.045454545
affirmfilms,23413463.916666668
markcanton,46818656.166666664
stevenspielberg,92312163.0
protozoapictures,30521908.111111112
esperantofilmoj,137046352.5
offspringentertainment,34131728.75
redgranitepictures,68242125.5
vertigofilms,11852792.47826087
broncreative,30156102.666666668
firmfilms,44553377.5
tohoco,19025697.14285714
exclusivemediagroup,22169723.916666668
forwardpass,66475848.25
darkcastleentertainment,22146505.416666668
bigtalkpictures,20368750.692307692
littlestar,132382499.0
infinitumnihil,37671388.571428575
stuberpictures,43711018.5
ratentertainment,43673562.5
nickwechsler,37110592.71428572
runteldatentertainment,64765907.5
filmdistrict,51812245.4
sikeliaproductions,36908785.428571425
jointeffort,86107796.33333333
seesawfilms,17115926.533333335
tikfilms,42553223.666666664
fourbytwofilms,63768681.5
aradproductions,63518741.25
moritzborman,50812954.4
johndavis,127007249.5
antoncapitalentertainment,14105669.888888888
coldspringspictures,36219848.571428575
room101,41954670.5
allisonshearmur,62660567.5
endgameentertainment,15619014.8125
treelinefilm,83183117.66666667
bazmark,82855172.0
unitedplanktonpictures,124205320.5
darrenstar,123997475.0
hutchparker,82623768.66666667
katjamotionpicturecorporation,123547751.5
zanuckbrown,61659554.75
tollinrobbins,81955389.0
sahdyacres,242704995.0
pittbull,242704995.0
gothamgroup,22041805.90909091
josephsonentertainment,48375016.6
whynotproductions,9291330.961538462
intermediafilm,26774127.333333332
qedinternational,26436597.555555556
qcentertainment,47374626.0
bayfilms,78383081.66666667
curtisdonenproductions,234770996.0
carolcopictures,116985476.0
simonkinberg,233921534.0
sectioneight,38867254.666666664
lawrencebender,46512543.8
smokehousepictures,38636556.166666664
twistedpictures,33071880.85714286
hyayibrotherscorp,9596660.458333334
jimhensonproductions,38335341.166666664
samuelgoldwynfilms,5726010.425
goldcrestfilms,12053609.94736842
bluelight,113995872.0
pearlstreet,32552106.285714287
leonardgoldberg,113059936.5
mproductions,112989246.0
burgknoules,45179349.8
vendianentertainment,24989339.444444444
charlesbwesslerentertainment,56116714.5
riverroadentertainment,20392327.636363637
interscopefilms,31953841.0
guillermodeltoro,74527543.0
impactpictures,22343216.4
movingpictures,74423792.0
sommerscompany,74214107.33333333
wildbunch,4032691.727272727
onthedayproductions,44273871.0
rocketpictures,55298743.75
alliancefilms,18409818.833333332
strikeentertainment,31508714.14285714
dickhouse,73077570.33333333
bluewolf,219195051.0
mirageenterprises,54174908.75
queenfilms,216303339.0
billgerber,215288866.0
livenationproductions,215288866.0
richeludwig,107421643.0
gratitudeinternational,213117789.0
practicalpictures,42532953.6
conundrumentertainment,53098556.25
zadanmeron,106169175.5
aggregatefilms,42345704.2
polygramfilmedentertainment,30221370.57142857
thebedfordfallscompany,52857092.25
karzentertainment,52826118.75
feigcoentertainment,26278309.5
imaxcorporation,20969128.1
bigkidpictures,52108649.25
imageentertainment,26029563.25
mrmudd,20757589.2
accessentertainment,103434619.0
kevinfeige,206362140.0
ericsboy,206040085.0
studiobabelsberg,20572530.8
lloydlevin,68466683.33333333
robertrehme,102650009.5
dnafilms,13654992.733333332
whitakerentertainment,68093772.33333333
zhiv,67871700.0
ivanreitmanproduction,67178281.66666667
brandywine,100369557.5
herrickentertainment,40146158.0
film4,5698813.828571429
dinodelaurentiis,49673512.75
davidentertainmentcompany,99295168.0
horseshoebay,66007708.0
kennedymiller,198000317.0
waynerice,49380787.75
eidosinteractive,98398970.5
heyeddie,65580926.0
davisfilms,19666242.0
sundaynight,49159811.0
springcreekprod,39324748.6
petersentertainment,64773831.0
malekakkad,96367494.0
winddancerfilms,48009194.5
gamaentertainment,95608141.0
mednickproductions,95602377.0
heavymetal,191204754.0
roughhousepictures,15905944.25
a24,7931751.708333333
aviarad,190173195.0
wrigleypictures,37923965.4
stxfilms,23445191.125
goldenmean,187224605.0
depthoffield,16976317.727272727
guywalksintoabar,92821922.5
beijinguniversestarlightculturemediacompany,46263086.5
overturefilms,22997911.125
wandamedia,10805132.529411765
lbientertainment,45885144.0
mattgroening,183135014.0
wayansbrothersentertainment,91406894.5
smokehousepictures,60921071.666666664
baltimorespringcreekpictures,91346756.0
ashokamritraj,30096761.666666668
pureflix,12024795.666666666
geffenpictures,59966314.666666664
momentumpictures,8141914.863636363
tdjakes,44697562.75
tpsstar,16218153.909090908
imf,29660964.0
mythologyentertainment,29540605.0
seandanielcompany,59012265.666666664
chinafilmgroup,19647837.555555556
gunnfilms,44180618.5
blueprintfilms,13552312.384615384
mandalayvision,17612563.7
ludlumentertainment,176087450.0
hemdale,58684273.333333336
ivanhoepictures,43829888.5
gilbertfilms,17506451.4
skglobal,174532921.0
electricsomewhere,174532921.0
gulfstreampictures,21803688.875
harbingerpictures,57903388.666666664
michaelbay,57635266.0
oddlotentertainment,21447814.75
grouchoiifilmpartnership,171479930.0
producercirclecompany,170687518.0
statestreetpictures,17042875.7
levantinefilms,84849032.0
ttkproductions,84709021.5
emi,169100479.0
phillips,169100479.0
celadorfilms,42100747.25
pandemonium,55989645.666666664
nancytenenbaum,166225040.0
bristolbayproductions,41485873.5
envisionentertainment,33078473.4
darkwoods,82298708.0
mikezoss,54804686.0
jonshestack,40971312.5
jaffelansingproduction,81422846.5
captivateentertainment,162192920.0
film44,40537715.25
voltagepictures,4156562.871794872
aversanofilms,53948036.666666664
radicalstudios,53931949.666666664
windyhillpictures,40356693.5
crucialfilms,80598892.5
brokenchairflickz,161197785.0
indianpaintbrush,17824400.444444444
pathe,3897660.048780488
perfectstormentertainment,39712085.0
sneakyshark,158848340.0
amazonstudios,4277394.675675675
douglasreuther,79096457.5
automatik,4943217.375
goldmiller,157019771.0
fps,155190832.0
blackbear,9679240.8125
kennedymillermitchellproductions,153636354.0
doublenickelentertainment,50813936.333333336
dreamworksskg,76107924.5
rahwayroad,50664339.333333336
disneynature,12634440.0
imposterpictures,75550901.5
anabasisinvestments,150415432.0
newmantooley,150394119.0
slaphappyproductions,150394119.0
daydayfilms,49898841.333333336
disneytoonstudios,74720156.0
cameronmackintosh,148809770.0
bonafide,12396757.666666666
darkhorseentertainment,37131882.0
rotharnold,74164314.0
principatoyoungentertainment,24674386.0
woodsentertainment,36988323.75
firstlight,49226607.0
irishfilmboard,2417992.180327869
aeindiefilms,13331390.636363637
ixtlanproductions,36616993.5
boldfilms,9756176.466666667
hanwayfilms,3848882.052631579
gravitypictures,73005297.5
aegisfilmfund,24324790.666666668
clarkspencer,145771527.0
thefyzzfacility,3468212.0
